time_utc,total_signals,close,%_spot_change_7d,%_spot_change_10d,%_spot_change_14d,abs_max_move_pct,actual_abs_7d,ensemble_predicted_range,straddle_pnl,strangle_pnl,straddle_win,strangle_win
2024-11-20,13,94243,1.8145,2.4002,4.7261,4.7261,1.8145,0.136849782654001,-1.6855,-0.3855000000000002,False,False
2024-11-24,4,97828,-0.4733,0.8883,3.4878,3.4878,0.4733,0.170030675241773,-3.0267,-1.7267,False,False
2024-12-17,14,106020,-6.8761,-10.9423,-11.5648,11.5648,6.8761,0.0184290659830263,3.3761,4.6761,True,True
2024-12-23,4,94918,-2.0397,2.2293,7.7667,7.7667,2.0397,0.0161759465950031,-1.4603,-0.1603000000000003,False,False
2024-12-24,9,98730,-5.0349,-0.5581,-1.7442,5.0349,5.0349,0.0159464593675824,1.5349,2.8349,True,True
2025-01-09,18,92692,7.9273,9.2867,12.124,12.124,7.9273,0.0177656704999057,4.4273,5.7273,True,True
2025-01-12,6,94580,7.1051,9.6215,8.543,9.6215,7.1051,0.0187222684608438,3.6051,4.9051,True,True
2025-01-13,4,94682,7.9508,9.7674,8.0459,9.7674,7.9508,0.0302270411233542,4.4508,5.7508,True,True
2025-01-27,4,102300,-1.0068,-5.4956,-4.6432,5.4956,1.0068,0.0383368086564848,-2.4932,-1.1932,False,False
2025-02-03,4,101270,-3.6733,-4.3991,-5.2483,5.2483,3.6733,0.0167566994697901,0.1732999999999998,1.4733,True,True
2025-02-19,7,96801,-12.7778,-10.7664,-6.1497,12.7778,12.7778,0.0285410929518819,9.2778,10.5778,True,True
2025-02-21,14,96345,-12.1459,-10.2413,-9.6559,12.1459,12.1459,0.0376935634503434,8.6459,9.945899999999998,True,True
2025-02-25,16,88888,-1.593,-2.0768,-6.4407,6.4407,1.593,0.0302555183082934,-1.907,-0.6070000000000002,False,False
2025-02-26,10,84432,7.599,2.4422,-0.6822,7.599,7.599,0.0479565844152868,4.099,5.399,True,True
2025-02-27,4,85007,6.0148,-4.7702,-4.3738,6.0148,6.0148,0.0345000705697597,2.5148,3.8148,True,True
2025-03-29,12,82865,0.8846,-7.8839,2.889,7.8839,0.8846,0.0111807217442607,-2.6154,-1.3154,False,False
2025-03-30,9,82553,-4.981,-0.0133,1.3603,4.981,4.981,0.00945762330678558,1.481,2.781,True,True
2025-04-07,5,79249,6.6815,7.0449,10.3774,10.3774,6.6815,0.0199791611352366,3.1815,4.4815,True,True
2025-04-18,4,84363,12.2613,12.6631,14.8454,14.8454,12.2613,0.0150270035488698,8.7613,10.0613,True,True
2025-04-28,5,95046,-0.0589,8.6737,8.2213,8.6737,0.0589,0.0306943999670342,-3.4411,-2.1411,False,False
2025-04-29,9,94451,2.6278,8.9877,10.2582,10.2582,2.6278,0.0268386026748968,-0.8721999999999999,0.4278,False,True
2025-05-11,7,104090,2.2481,5.3319,4.5826,5.3319,2.2481,0.0415716847251972,-1.2519,0.04809999999999981,False,True
2025-05-12,4,102860,2.5374,8.5359,6.3484,8.5359,2.5374,0.0317288270635196,-0.9626000000000001,0.3373999999999997,False,True
2025-06-29,6,108370,0.932,2.7775,9.7536,9.7536,0.932,0.0188102864895227,-2.568,-1.268,False,False
2025-08-28,5,112740,-1.6232,-1.3482,2.3594,2.3594,1.6232,0.0212065719425352,-1.8768,-0.5768000000000002,False,False
2025-09-12,5,116030,-0.1724,,,0.1724,0.1724,,-3.3276,-2.0276,False,False
2025-09-13,4,115910,-0.0604,,,0.0604,0.0604,,-3.4396,-2.1396,False,False
2025-09-15,10,115580,,,,,,,,,False,False
